id,screen_name,name,description,profile_image_url,profile_banner_url,followers_count,statuses_count,favourites_count,listed_count,verified_type,is_blue_verified,following,followed_by,created_at,url
"1025247075351576576","IOYAWU","TaTa","","https://pbs.twimg.com/profile_images/1380746238761562113/tAL7mcjR_normal.jpg","https://pbs.twimg.com/profile_banners/1025247075351576576/1597185231",26,15,262,0,"null",false,false,"null","2018-08-02 22:08:45 -07:00","https://twitter.com/IOYAWU"
"1115049654138355714","0xbobchien","Bob C. ✨","🌧️constructing @nubilanetwork 🤌Builder and investor in web3 👀GP of @stringcapital & @radiancevntr 🥷🏻Mentor of @500GlobalVC 🔮prev @galxe. Doctor 💉&💻","https://pbs.twimg.com/profile_images/1699077123049402368/Vuhpuhvk_normal.jpg","https://pbs.twimg.com/profile_banners/1115049654138355714/1727979796",8523,3322,3774,34,"null",true,true,true,"2019-04-07 17:32:08 -07:00","https://twitter.com/0xbobchien"
"1142536749324939264","Crypto_koH","koH","🌱🍄@HAND_Protocol","https://pbs.twimg.com/profile_images/1874897385970659328/KhffYQjP_normal.jpg","https://pbs.twimg.com/profile_banners/1142536749324939264/1697394046",855,5914,9596,4,"null",true,false,true,"2019-06-22 13:56:03 -07:00","https://twitter.com/Crypto_koH"
"116317265","0xACDI","Ale Ω","Former Earth scientist 🌏🔬turned into DeFi and AI tester🪄 Neurodivergent, Game theory addict (3,3)","https://pbs.twimg.com/profile_images/1882330310857113600/iw8ZCi-9_normal.jpg","https://pbs.twimg.com/profile_banners/116317265/1737073599",409,2902,22154,2,"null",true,false,"null","2010-02-21 17:18:43 -08:00","https://twitter.com/0xACDI"
"1179086771763572736","ygg_anderson","YGG ⟠ linuxiscool.eth 🦇","🌲💎GLOBAL COORDINATION💎🌲\nDirector of Technology @kwaxala\nToken Engineering @block_science @tecmns @longtailfintech\nLead Dev @gaiaaiagent @Asami_xLunar","https://pbs.twimg.com/profile_images/1876125232366223360/U7ZvYe8u_normal.png","https://pbs.twimg.com/profile_banners/1179086771763572736/1629828761",1004,4177,9309,25,"null",true,false,"null","2019-10-01 10:32:55 -07:00","https://twitter.com/ygg_anderson"
"1184597295049957376","far9e1","Altcoin Aura","Top Tire_1 Crypto influencer ! Looking for opportunities/ DM for promotion ! || NFT || #Alts #Memes #Games","https://pbs.twimg.com/profile_images/1867529493621223425/d5IMJOo0_normal.jpg","https://pbs.twimg.com/profile_banners/1184597295049957376/1736955807",100203,349628,4,38,"null",true,false,"null","2019-10-16 15:29:59 -07:00","https://twitter.com/far9e1"
"1306082096348164096","whyarethis","Parzival - ∞/89","∞/89 Infinite acceleration. We are never stopping.  \nDirector @project_89.  Previously @oneirocom.\nBuild with me on Discord! https://t.co/BnB9PMXNev","https://pbs.twimg.com/profile_images/1861212875806908416/fhSqJ68i_normal.jpg","https://pbs.twimg.com/profile_banners/1306082096348164096/1732848473",20298,8868,20967,296,"null",true,true,"null","2020-09-15 21:07:32 -07:00","https://twitter.com/whyarethis"
"1372199136452284424","barcafanx1","barcafanx (😈,😇)","#cryptocurrency","https://pbs.twimg.com/profile_images/1879712580861620224/TowXy63G_normal.jpg","https://pbs.twimg.com/profile_banners/1372199136452284424/1616479649",178,1717,1662,10,"null",false,false,"null","2021-03-17 07:52:40 -07:00","https://twitter.com/barcafanx1"
"1405050363057741824","RogerThat0x","RogerThat0x 🦇🔊🧡","Ethereum-RocketPool staker, regen-anarco-deep green-ecologist-economist, og-cypherpunk, decentralization-privacy-credible-neutrality-trustlessness-maxi.","https://pbs.twimg.com/profile_images/1715532752240447488/bNENPyJB_normal.jpg","https://pbs.twimg.com/profile_banners/1405050363057741824/1697849858",176,1779,3581,2,"null",false,false,"null","2021-06-15 23:31:48 -07:00","https://twitter.com/RogerThat0x"
"1430788189392969728","MyCryptoAdvent8","⚡️ My Crypto Adventures (🐝,👹)","ツ 🅲🅾🅼🅴 to ✦MyCryptoAdventures✦ my ☼journeys ✍learnings ✧quests ∞discoveries off the beaten path of CryptoSphere🌐 ⤑ @Crypto_Swarm @MonsterMyCity $ETH🌮 MOB⚡","https://pbs.twimg.com/profile_images/1711390783381925888/Spl3IDe7_normal.jpg","https://pbs.twimg.com/profile_banners/1430788189392969728/1709139707",1902,23865,32486,8,"null",true,false,"null","2021-08-26 00:08:10 -07:00","https://twitter.com/MyCryptoAdvent8"
"1437527029","susanobarnes","Susan Jessica","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","null",0,0,0,0,"null",false,false,"null","2013-05-17 22:52:06 -07:00","https://twitter.com/susanobarnes"
