Timestep,Observation,G_Stay,G_Move
0,SAFE,2.4517732763721294,2.386294361119891
1,SAFE,2.4517732763721294,2.386294361119891
2,SAFE,2.4517732763721294,2.386294361119891
3,SAFE,2.4517732763721294,2.386294361119891
4,SAFE,2.4517732763721294,2.386294361119891
5,DANGER,1.9304078822726862,2.386294361119891
6,DANGER,1.9304078822726862,2.386294361119891
7,DANGER,1.9304078822726862,2.386294361119891
8,DANGER,1.9304078822726862,2.386294361119891
9,DANGER,1.9304078822726862,2.386294361119891
10,SAFE,2.4517732763721294,2.386294361119891
11,SAFE,2.4517732763721294,2.386294361119891
12,SAFE,2.4517732763721294,2.386294361119891
13,SAFE,2.4517732763721294,2.386294361119891
14,SAFE,2.4517732763721294,2.386294361119891
15,DANGER,1.9304078822726862,2.386294361119891
16,DANGER,1.9304078822726862,2.386294361119891
17,DANGER,1.9304078822726862,2.386294361119891
18,DANGER,1.9304078822726862,2.386294361119891
19,DANGER,1.9304078822726862,2.386294361119891
